Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1 /success.txt,84,127,104,431,55.02,0.000%,.55297,0.21,0.16,384.0
2 /,84,124,101,1290,129.48,0.000%,.55396,0.43,0.24,788.0
3 /,84,65,51,303,48.77,0.000%,.55481,0.43,0.24,788.0
4 /GTSGIAG3,84,150,134,449,47.61,0.000%,.55450,0.38,0.24,705.0
5 /GTSGIAG3,84,93,82,341,31.62,0.000%,.55585,0.38,0.24,705.0
7 /,84,64,51,314,47.93,0.000%,.55599,0.43,0.24,787.6
6 /,83,63,51,563,57.29,0.000%,.55537,0.43,0.24,787.7
8 /success.txt,83,56,49,84,4.88,0.000%,.55535,0.21,0.16,384.0
9 /GTSGIAG3,83,94,83,348,39.74,0.000%,.55523,0.38,0.24,705.0
10 /GTSGIAG3,83,94,83,348,34.69,0.000%,.55527,0.38,0.24,705.0
11 /GTSGIAG3,83,88,83,101,3.22,0.000%,.55527,0.38,0.24,705.0
12 /,83,56,50,163,14.77,0.000%,.55544,0.18,0.24,338.7
13 /,83,60,51,316,32.50,0.000%,.55566,0.18,0.24,338.7
14 /GTSGIAG3,83,94,83,353,40.61,0.000%,.55575,0.38,0.24,705.0
15 /,83,58,50,314,30.10,0.000%,.55588,0.18,0.24,338.8
16 /,83,58,51,311,30.87,0.000%,.55615,0.18,0.24,338.7
18 /,83,57,51,318,28.88,0.000%,.55660,0.43,0.24,788.0
19 /,83,61,51,321,40.61,0.000%,.55760,0.43,0.24,788.0
17 /,83,54,51,74,3.29,0.000%,.55780,0.43,0.24,788.0
20 /GTSGIAG3,83,98,83,356,49.90,0.000%,.55766,0.38,0.24,705.0
21 /,83,63,51,314,40.96,0.000%,.55801,0.18,0.24,338.7
23 /,83,71,51,847,95.46,0.000%,.55828,0.18,0.24,338.7
22 /,83,63,51,315,40.81,0.000%,.55870,0.18,0.24,338.7
TOTAL,1915,79,49,1290,55.96,0.000%,12.57065,7.26,5.25,591.2
